Group,Attribute,Type,Null_value,Empty_string,Not_applicable,Out_of_range,Not_in_set,Invalid_value,Precision_too_high,Neg_infinity,Pos_infinity
CAS,PHOTO_YEAR,integer,-8888,NA,-8886,-9999,NA,-9997,NA,NA,NA
LYR,CAS_ID,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NA,INVALID,NA,NA,NA
LYR,SOIL_MOIST_REG,text,NULL_VALUE,EMPTY_STRING,NOT_APPLICABLE,NA,NA,INVALID,NA,NA,NA
LYR,STRUCTURE_PER,integer,-8888,-8885,-8886,-9999,-9998,-9997,-9996,NA,NA
LYR,LAYER,integer,-8888,-8885,-8886,-9999,-9998,-9997,-9996,NA,NA
LYR,LAYER_RANK,integer,-8888,-8885,-8886,-9999,-9998,-9997,-9996,NA,NA
LYR,CROWN_CLOSURE_LOWER,integer,-8888,-8885,-8886,-9999,-9998,-9997,-9996,NA,NA
LYR,CROWN_CLOSURE_UPPER,integer,-8888,-8885,-8886,-9999,-9998,-9997,-9996,NA,NA
LYR,HEIGHT_LOWER,double precision,-8888,NA,-8886,-9999,NA,-9997,-9996,-2222,-2221
LYR,HEIGHT_UPPER,double precision,-8888,NA,-8886,-9999,NA,-9997,-9996,-2222,-2221
