ospcomp,uspcomp,nchar
Pw  40By  20Bw  10Pj  10Sb  10Sw  10, ,36
Pt  30Cw  20Sb  20Bf  10Pw  10Bw  10, ,36
Pw  40Pj  20Or  10Pt  10Pr  10Mr  10,NA,36
Or  40Mr  20Pw  10Bd  10Pl  10Mh  10, ,36
Mr  20Bw  20Sb  20Bf  20Pt  10Pw  10, ,36
Bf  30Pw  20Sb  20Bw  10Pt  10He  10, ,36
He  40Mh  20Or  10By  10Pw  10Sw  10,,36
Pt  40Sb  20Pr  10Bw  10Bf  10Pl  10, ,36
Pw  30Pt  20Pr  20Bw  10Bf  10Mr  10, ,36
Mh  30By  20Pw  20Bf  10Mr  10Sw  10, ,36
Pt  30Bw  20Bf  20Pb  10Sw  10Sb  10, ,36
Bw  30Sb  20Mr  20Sw  10Pt  10Cw  10, ,36
Bw  30By  20Cw  20Mh  10Pw  10Bf  10, ,36
Or  30Mr  20Mh  20Be  10Ow  10Pw  10,Mr  40Iw  20Mh  20Or  10Pw  10,36
By  30Bf  20Mh  20Bw  10Sw  10Pw  10, ,36
Sb  40Bw  20Bf  10Mr  10Pw  10La  10,NA,36
Sb  30Bw  20Pt  20Cw  10Ab  10Mr  10, ,36
Mr  30By  20Mh  20He  10Be  10Pt  10, ,36
Bw  40Sb  20Pj  10Cw  10Sw  10Bf  10, ,36
Mr  30Ab  20Sw  20Pr  10Bw  10Bf  10, ,36
Mh  40By  20Bw  10Cw  10Sw  10Mr  10,By  60Mh  40,36
Sw  40Bf  20Sb  10Pj  10La  10Pt  10, ,36
Mh  30Mr  30Bw  10By  10Sw  10Bf  10, ,36
Pj  30Pt  20Pw  20Bf  10Pr  10Mr  10, ,36
Sb  40Bw  20Pt  10Mr  10Pr  10Bf  10, ,36
Pt  40Sw  20Bf  10Bw  10Sb  10Ab  10, ,36
Ew  30Pb  20Ab  20Pt  10Sw  10Bd  10, ,36
Pw  40Pr  20Pt  10Bw  10Mr  10Bf  10,NA,36
Mr  30Pt  20Sw  20Bf  10Or  10Ab  10, ,36
Sb  20Bw  20Pt  20Bf  20Pr  10Mr  10, ,36
Bw  30Bf  20Sw  20Pj  10Pt  10Sb  10, ,36
Mh  50Mr  10Bd  10Aw  10Be  10He  10,,36
Cw  30Sb  20Bw  20By  10Pw  10Mr  10, ,36
Pr  30Pw  20Bf  20Sb  10Bw  10Mr  10, ,36
Pt  30Pr  20Pw  20Bf  10Bw  10Sb  10, ,36
Pt  30Mr  20Bf  20Sw  10Sb  10Bw  10, ,36
Mh  30Mr  20PO  20By  10Bd  10Cw  10,,36
Sb  40Bw  20By  10Bf  10Cw  10Sw  10, ,36
Mr  30Mh  20By  20PO  10Bf  10Cw  10,,36
Bw  40Sb  20Mr  10Pj  10Bf  10Pt  10,NA,36
Sb  30Ab  20Bw  20Sw  10Bf  10Pt  10,NA,36
Mh  30Mr  20Bw  20By  10Bf  10Sw  10,NA,36
By  40Mh  20PO  10Mr  10He  10Sw  10, ,36
Bw  40Mr  20Pw  10Sw  10Bf  10Sb  10, ,36
Mh  30Bw  30Bf  10By  10Mr  10Sb  10, ,36
Mr  40By  20Pw  10He  10Mh  10Ew  10, ,36
He  30By  20Mh  20Pw  10Mr  10Bw  10,,36
Bw  40Pt  20Bf  10Mr  10Sb  10By  10, ,36
Sb  30Cw  20Sw  20Bw  10By  10Pw  10, ,36
Sb  40Bw  20Bf  10Cw  10Sw  10Pt  10, ,36
By  30Bf  20Mr  20Sb  10Bw  10Pw  10, ,36
Bw  30Sb  20Bf  20Cw  10Mr  10By  10, ,36
Mh  30Pt  20Pw  20He  10Bw  10Sw  10, ,36
Bw  40Bf  20Pt  10Sb  10Sw  10Mr  10, ,36
Pt  30Pj  20Pr  20Sb  10Sw  10Bw  10, ,36
Bw  30Bf  20Mr  20Sw  10By  10Mh  10, ,36
Bf  30Pt  20Cw  20Bw  10Mr  10Mh  10, ,36
Pt  30Pw  20Cw  20Bw  10Sw  10Sb  10, ,36
Bw  30Pj  20Pt  20Or  10Mr  10Sb  10, ,36
Mr  30Mh  20Or  20PO  10Pw  10He  10,,36
Mh  20Bw  20Bf  20Mr  20Sb  10By  10, ,36
Mh  40Be  20Pt  10Mr  10By  10Bf  10, ,36
Pw  30Or  20Sb  20Pt  10Pr  10La  10, ,36
By  30Cw  20Mr  20He  10Bw  10Bf  10,NA,36
